Date,CIPLA.NS,GOLDBEES.NS,INFY.NS,ITC.NS,MARICO.NS,MARUTI.NS,SUNPHARMA.NS,TATAMOTORS.NS,TCS.NS
2021-04-01,803.3602294921875,39.099998474121094,1278.0155029296875,200.05714416503906,394.189453125,6771.31103515625,595.8017578125,306.7938232421875,2994.6923828125
2021-04-05,804.7837524414062,39.33000183105469,1300.804443359375,193.2385711669922,389.5434265136719,6619.384765625,593.8995361328125,304.1022033691406,3064.6162109375
2021-04-06,820.8844604492188,39.4900016784668,1301.865478515625,193.32948303222656,390.0757751464844,6602.5146484375,605.264404296875,306.7938232421875,3089.027587890625
2021-04-07,825.49853515625,40.11000061035156,1319.533447265625,194.37501525878906,394.9153747558594,6713.70947265625,605.8497924804688,306.8436584472656,3095.36767578125
2021-04-08,826.6276245117188,40.279998779296875,1328.436767578125,193.8749542236328,401.3521423339844,6676.400390625,599.2161254882812,312.9745788574219,3138.8447265625
2021-04-09,866.9281616210938,40.45000076293945,1329.5438232421875,193.7386016845703,407.111328125,6676.64453125,621.1654663085938,317.21136474609375,3143.48095703125
2021-04-12,885.9248657226562,40.4900016784668,1315.427978515625,186.64727783203125,394.33465576171875,6376.89892578125,604.1912841796875,285.65966796875,3071.854736328125
2021-04-13,869.0388793945312,40.5099983215332,1289.0408935546875,189.7383575439453,407.7888488769531,6665.5927734375,611.9955444335938,301.9090576171875,2937.022705078125
2021-04-15,897.5094604492188,40.720001220703125,1255.4573974609375,187.9200897216797,409.7247314453125,6497.82421875,617.7510986328125,302.5570068359375,3045.73974609375
2021-04-16,920.9239501953125,40.83000183105469,1248.9991455078125,189.05650329589844,410.3539123535156,6501.58935546875,630.2378540039062,309.0368347167969,3023.22021484375
2021-04-19,929.0233764648438,41.529998779296875,1257.1181640625,186.92002868652344,406.4338073730469,6368.244140625,624.9700927734375,300.4635314941406,2991.6650390625
2021-04-20,931.9685668945312,41.099998474121094,1246.7847900390625,185.05628967285156,397.04486083984375,6500.1708984375,629.3599243164062,297.1239318847656,2975.3427734375
2021-04-22,927.1089477539062,41.47999954223633,1246.5540771484375,187.1927490234375,398.1579895019531,6503.54541015625,624.2871704101562,293.63482666015625,2950.978515625
2021-04-23,918.5186767578125,41.52000045776367,1230.5927734375,186.69271850585938,398.3999938964844,6528.97265625,622.3361206054688,293.0865478515625,2942.178955078125
2021-04-26,888.8700561523438,41.22999954223633,1239.5882568359375,186.64727783203125,393.3183288574219,6492.59130859375,619.1656494140625,294.482177734375,2933.947265625
2021-04-27,895.7422485351562,41.08000183105469,1244.1553955078125,186.7381591796875,394.2862548828125,6423.98779296875,623.6043701171875,300.563232421875,2963.468017578125
2021-04-28,893.5824584960938,40.63999938964844,1251.0750732421875,186.82911682128906,398.20635986328125,6428.9267578125,627.6527099609375,304.9495544433594,2955.99365234375
2021-04-29,889.9500122070312,40.720001220703125,1251.39794921875,185.73812866210938,396.70611572265625,6420.9560546875,628.725830078125,300.96197509765625,2947.619140625
2021-04-30,893.7296142578125,40.59000015258789,1249.552734375,184.19259643554688,398.2547912597656,6313.38037109375,638.4323120117188,292.93701171875,2872.302978515625
2021-05-03,893.5824584960938,40.689998626708984,1247.4307861328125,182.69248962402344,430.87396240234375,6452.44677734375,643.0660400390625,292.08966064453125,2873.580322265625
2021-05-04,862.412109375,40.75,1226.533203125,181.46514892578125,445.9737243652344,6364.8212890625,629.3599243164062,288.5506896972656,2885.644287109375
2021-05-05,872.4259033203125,40.529998779296875,1237.6968994140625,183.10159301757812,440.698486328125,6444.86767578125,666.6737670898438,290.59429931640625,2929.12158203125
2021-05-06,868.1552734375,40.81999969482422,1256.241455078125,184.32894897460938,460.4926452636719,6519.72998046875,662.7716064453125,300.31402587890625,2944.0234375
2021-05-07,866.7808227539062,41.2400016784668,1247.8919677734375,186.69271850585938,458.6535949707031,6555.32763671875,662.8203735351562,301.8093566894531,2964.319580078125
2021-05-10,883.8140869140625,41.459999084472656,1235.89794921875,186.87457275390625,455.65301513671875,6614.93505859375,681.1115112304688,313.87176513671875,2976.24169921875
2021-05-11,874.6348266601562,41.400001525878906,1227.6866455078125,185.46539306640625,464.2192077636719,6588.1875,690.7691650390625,314.569580078125,2954.573974609375
2021-05-12,882.1942138671875,41.38999938964844,1224.319091796875,184.78353881835938,453.76556396484375,6667.30419921875,685.6476440429688,324.98712158203125,2921.457763671875
2021-05-14,887.544677734375,41.4900016784668,1214.5391845703125,192.96583557128906,459.3311462402344,6587.943359375,674.5266723632812,311.27984619140625,2887.2998046875
2021-05-17,865.1119384765625,41.83000183105469,1226.533203125,193.28402709960938,459.040771484375,6569.80224609375,670.3319702148438,320.10235595703125,2904.56787109375
2021-05-18,868.2534790039062,42.09000015258789,1236.31298828125,190.96572875976562,457.395263671875,6660.99658203125,673.892578125,331.4170837402344,2922.593017578125
2021-05-19,887.446533203125,41.939998626708984,1233.545166015625,188.87469482421875,458.3631896972656,6626.57275390625,686.1842041015625,313.4730224609375,2916.15869140625
2021-05-20,907.3268432617188,42.130001068115234,1235.667236328125,188.1928253173828,454.0075378417969,6589.361328125,670.0392456054688,306.7439880371094,2895.342529296875
2021-05-21,909.9776000976562,42.16999816894531,1249.6910400390625,190.05657958984375,444.9573974609375,6664.46875,673.5023803710938,312.127197265625,2914.7392578125
2021-05-24,914.2481079101562,42.20000076293945,1243.740234375,192.28396606445312,445.3445739746094,6720.1640625,674.0389404296875,310.8810729980469,2915.685546875
